year,tag,count
1,country,18
1,misc,114
1,pop,17
1,rap,49
1,rb,57
1,rock,11
2,country,1
2,misc,1
3,misc,2
3,rap,1
3,rb,2
4,misc,1
6,misc,2
6,rap,1
7,rb,1
8,country,1
8,misc,1
8,pop,1
10,misc,1
13,rap,1
15,rap,1
16,rb,1
16,rock,1
17,rap,2
18,pop,1
18,rap,1
19,country,2
20,pop,1
20,rap,2
20,rb,1
21,rb,1
21,rock,1
22,rb,1
49,misc,1
69,misc,2
75,misc,2
90,misc,16
95,misc,1
99,rap,1
100,rap,1
112,misc,1
170,misc,1
193,misc,1
207,rb,1
210,pop,1
210,rock,1
211,country,1
213,country,1
214,country,1
219,rb,1
250,misc,1
270,misc,1
343,misc,1
377,misc,1
381,misc,1
397,misc,6
399,country,1
420,country,2
420,misc,1
426,misc,3
428,misc,1
431,misc,1
442,misc,6
499,pop,1
510,misc,1
514,rap,1
600,rap,1
632,misc,1
666,country,1
709,misc,1
769,rap,1
800,misc,1
868,misc,1
976,misc,1
1000,misc,1
1059,misc,1
1078,misc,1
1095,misc,1
1110,misc,1
1118,misc,1
1200,misc,2
1208,misc,1
1215,misc,1
1219,rock,1
1224,misc,1
1228,misc,31
1251,misc,1
1266,rap,1
1300,misc,18
1308,misc,1
1321,misc,2
1380,misc,1
1385,misc,3
1393,misc,1
1400,misc,1
1404,country,1
1420,misc,2
1477,country,1
1482,misc,1
1503,misc,1
1516,misc,7
1517,misc,86
1530,misc,1
1531,rb,1
1532,misc,17
1536,misc,49
1540,misc,1
1546,misc,1
1547,misc,1
1555,misc,7
1558,misc,2
1559,country,1
1560,misc,1
1563,misc,9
1564,misc,1
1566,misc,2
1569,misc,1
1578,rap,1
1580,country,1
1580,misc,1
1590,misc,88
1591,misc,95
1592,misc,13
1593,misc,33
1594,misc,9
1595,misc,88
1596,misc,1
1597,misc,12
1598,misc,25
1599,misc,49
1600,misc,54
1601,misc,10
1602,misc,40
1603,misc,39
1604,misc,16
1605,misc,10
1605,rap,1
1606,misc,47
1607,misc,1
1608,misc,42
1609,misc,128
1610,misc,15
1611,misc,51
1612,misc,8
1612,pop,1
1613,misc,11
1614,misc,31
1616,misc,18
1621,misc,1
1623,misc,57
1624,misc,3
1625,misc,13
1628,misc,4
1629,misc,13
1630,misc,2
1632,misc,29
1633,misc,35
1641,misc,3
1642,misc,1
1643,misc,1
1645,misc,8
1647,misc,3
1648,misc,1
1649,misc,2
1650,misc,1
1657,misc,9
1664,misc,1
1666,rap,6
1667,misc,9
1670,misc,12
1671,misc,1
1674,misc,2
1675,rb,1
1676,misc,1
1680,misc,1
1681,misc,12
1682,misc,1
1684,misc,1
1687,country,1
1687,misc,2
1689,misc,1
1691,misc,1
